ID,Date,CrimeEventID,CrimeActivity,StormEventID,StormActivity,ZoneCityID,Zone,City
2030511,10/1/2019,1910020000000.0,Violent Crime,774650,Coastal Flood,29,COASTAL MIAMI-DADE COUNTY,South Miami
2030427,10/1/2019,1910020000000.0,Murder and Non-negligent manslaughter,774572,Strong Wind Rain,4,COASTAL MIAMI-DADE COUNTY,Biscayne Park
2030423,10/1/2019,1910020000000.0,Motor Vehicle - Theft,774465,Lightning,18,COASTAL MIAMI-DADE COUNTY,Miami Beach
2030451,10/1/2019,1910020000000.0,Murder and Non-negligent manslaughter,774640,Thunderstorm Wind,32,METROPOLITAN MIAMI-DADE,Sweetwater
2030340,10/1/2019,1910020000000.0,Violent Crime,774627,Tropical Storm,22,COASTAL MIAMI-DADE COUNTY,Miami Springs
2030543,10/1/2019,1910020000000.0,Aggravated Assault,774631,Hail,19,COASTAL MIAMI-DADE COUNTY,Miami Gardens
2030320,10/1/2019,1910020000000.0,Robbery,774595,Lightning,31,COASTAL MIAMI-DADE COUNTY,Surfside
2030545,10/1/2019,1910020000000.0,Property Crime,774470,Lightning,1,MIAMI-DADE CO.,Aventura
2030579,10/1/2019,1910020000000.0,Larcency- Theft,774704,Thunderstorm Wind,21,COASTAL MIAMI-DADE COUNTY,Miami Shores
2030583,10/2/2019,1910020000000.0,Larcency- Theft,774667,Lightning,12,MIAMI-DADE CO.,Hialeah Gardens
2030349,10/3/2019,1910020000000.0,Burglary,774513,Tropical Storm,31,COASTAL MIAMI-DADE COUNTY,Surfside
2030409,10/3/2019,1910020000000.0,Motor Vehicle - Theft,774403,Storm Surge/Tide,13,METROPOLITAN MIAMI-DADE,Homestead
2030493,10/3/2019,1910020000000.0,Larcency- Theft,774677,Hail,21,COASTAL MIAMI-DADE COUNTY,Miami Shores
2030420,10/3/2019,1910020000000.0,Larcency- Theft,774660,Thunderstorm Wind,2,INLAND MIAMI-DADE,Bal Harbour
2030355,10/3/2019,1910020000000.0,Robbery,774695,Thunderstorm Wind,18,COASTAL MIAMI-DADE COUNTY,Miami Beach
2030573,10/4/2019,1910020000000.0,Burglary,774568,Storm Surge/Tide,21,COASTAL MIAMI-DADE COUNTY,Miami Shores
2030556,10/4/2019,1910020000000.0,Violent Crime,774668,Flash Flood,2,INLAND MIAMI-DADE,Bal Harbour
2030353,10/4/2019,1910020000000.0,Burglary,774551,Thunderstorm Wind,11,METROPOLITAN MIAMI-DADE,Hialeah
2030350,10/4/2019,1910020000000.0,Aggravated Assault,774559,Flash Flood,3,INLAND MIAMI-DADE,Bay Harbor Islands
2030547,10/4/2019,1910020000000.0,Violent Crime,774509,Coastal Flood,13,METROPOLITAN MIAMI-DADE,Homestead
2030368,10/4/2019,1910020000000.0,Motor Vehicle - Theft,774645,Thunderstorm Wind,15,COASTAL MIAMI-DADE COUNTY,Key Biscayne
2030513,10/5/2019,1910020000000.0,Larcency- Theft,774469,Coastal Flood,19,COASTAL MIAMI-DADE COUNTY,Miami Gardens
2030581,10/5/2019,1910020000000.0,Motor Vehicle - Theft,774487,Storm Surge/Tide,24,COASTAL MIAMI-DADE COUNTY,North Miami
2030569,10/5/2019,1910020000000.0,Motor Vehicle - Theft,774617,Lightning,14,MIAMI-DADE CO.,Indian Creek
2030492,10/6/2019,1910020000000.0,Violent Crime,774457,Hail,23,COASTAL MIAMI-DADE COUNTY,North Bay Village
2030351,10/6/2019,1910020000000.0,Larcency- Theft,774563,Coastal Flood,4,COASTAL MIAMI-DADE COUNTY,Biscayne Park
2030402,10/6/2019,1910020000000.0,Murder and Non-negligent manslaughter,774674,Tropical Storm,33,MIAMI-DADE CO.,Virginia Gardens
2030504,10/6/2019,1910020000000.0,Burglary,774611,Strong Wind Rain,25,COASTAL MIAMI-DADE COUNTY,North Miami Beach
2030509,10/7/2019,1910020000000.0,Property Crime,774689,Flash Flood,23,COASTAL MIAMI-DADE COUNTY,North Bay Village
2030529,10/7/2019,1910020000000.0,Robbery,774548,Hail,15,COASTAL MIAMI-DADE COUNTY,Key Biscayne
2030527,10/7/2019,1910020000000.0,Murder and Non-negligent manslaughter,774706,Coastal Flood,25,COASTAL MIAMI-DADE COUNTY,North Miami Beach
2030544,10/7/2019,1910020000000.0,Robbery,774664,Flash Flood,10,MIAMI-DADE CO.,Golden Beach
2030315,10/8/2019,1910020000000.0,Robbery,774694,Storm Surge/Tide,7,INLAND MIAMI-DADE,Doral
2030561,10/8/2019,1910020000000.0,Property Crime,774636,Tropical Storm,2,INLAND MIAMI-DADE,Bal Harbour
2030480,10/8/2019,1910020000000.0,Property Crime,774473,Coastal Flood,18,COASTAL MIAMI-DADE COUNTY,Miami Beach
2030429,10/8/2019,1910020000000.0,Murder and Non-negligent manslaughter,774616,Lightning,25,COASTAL MIAMI-DADE COUNTY,North Miami Beach
2030510,10/8/2019,1910020000000.0,Aggravated Assault,774606,Lightning,14,MIAMI-DADE CO.,Indian Creek
2030564,10/8/2019,1910020000000.0,Burglary,774654,Thunderstorm Wind,31,COASTAL MIAMI-DADE COUNTY,Surfside
2030554,10/9/2019,1910020000000.0,Burglary,774544,Thunderstorm Wind,13,METROPOLITAN MIAMI-DADE,Homestead
2030576,10/9/2019,1910020000000.0,Motor Vehicle - Theft,774604,Hail,16,MIAMI-DADE CO.,Medley
2030592,10/9/2019,1910020000000.0,Burglary,774524,Lightning,31,COASTAL MIAMI-DADE COUNTY,Surfside
2030442,10/9/2019,1910020000000.0,Burglary,774415,Flash Flood,32,METROPOLITAN MIAMI-DADE,Sweetwater
